keep,2012-07-31,23:16:28,83.149.48.42,RU,Russian Federation,Novosibirsk,53,Novosibirsk,55.0415,82.9346,"Mozilla/5.0 (Linux; U; Android 3.2.1; ru-ru; Transformer TF101G Build/HTK75) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13 Шпион или нет?",ru-RU,"ru-RU, en-US",participant,vote,2012-07-31,23:16:54,1343791055656:::Russia:::Russia
keep,2012-10-07,01:41:40,83.149.9.28,RU,Russian Federation,Moscow,48,Moscow City,55.7522,37.6156,"Mozilla/5.0 (Linux; U; Android 2.2.1; ru-ru; HTC Wildfire Build/FRG83D) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-10-07,01:43:38,1349588478592:::Russia
keep,2012-08-02,05:23:01,85.141.70.61,RU,Russian Federation,Moscow,48,Moscow City,55.7522,37.6156,"Mozilla/5.0 (Linux; U; Android 3.2; ru-ru; GT-P7500 Build/HTJ85B) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13 Шпион или нет?",ru-RU,"ru-RU, en-US",participant,vote,2012-08-02,10:05:56,1340715587426:::South Africa
keep,2012-05-24,09:43:51,85.26.155.18,RU,Russian Federation,Moscow,48,Moscow City,55.7522,37.6156,"Mozilla/5.0 (Linux; U; Android 3.2.1; ru-ru; Sony Tablet S Build/THMAS0042) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13 Шпион или нет?",ru-RU,"ru-RU, en-US",participant,vote,2012-05-24,09:44:07,1337867036007:::Russia
keep,2012-05-05,11:13:26,91.205.160.9,RU,Russian Federation,Nevinnomyssk,70,Stavropol',44.6333,41.9444,"Mozilla/5.0 (Linux; U; Android 3.2.1; ru-ru; A501 Build/HTK55D) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13 Шпион или нет?",ru-RU,"ru-RU, en-US",participant,vote,2012-05-05,11:13:56,1336317637318:::Russia
keep,2012-09-08,00:44:03,91.77.120.243,RU,Russian Federation,Moscow,48,Moscow City,55.7522,37.6156,"Mozilla/5.0 (Linux; U; Android 3.2; ru-ru; GT-P7500 Build/HTJ85B) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13 Шпион или нет?",ru-RU,"ru-RU, en-US",participant,vote,2012-09-08,00:45:05,1347079447275:::Russia
keep,2012-09-12,12:48:30,91.77.182.45,RU,Russian Federation,Moscow,48,Moscow City,55.7522,37.6156,"Mozilla/5.0 (Linux; U; Android 3.1; ru-ru; GT-P7500 Build/HMJ37) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13 Шпион или нет?",ru-RU,"ru-RU, en-US",participant,vote,2012-09-12,12:50:23,1347483102717:::Russia
keep,2012-08-29,10:12:44,91.77.47.181,RU,Russian Federation,Moscow,48,Moscow City,55.7522,37.6156,"Mozilla/5.0 (Linux; U; Android 4.0.3; ru-ru; ASUS Transformer Pad TF300T Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30 Шпион или нет?",ru-RU,"ru-RU, en-US",participant,vote,2012-08-29,10:13:23,1346264569741:::Russia
keep,2012-09-13,08:25:54,92.37.221.84,RU,Russian Federation,Elban,30,Khabarovsk,50.09,136.5,"Mozilla/5.0 (Linux; U; Android 2.2.2; ru-ru; LG-P350 Build/FRG83) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-09-13,08:27:02,1347564374868
keep,2012-05-13,06:30:28,93.84.16.185,BY,Belarus,Hrodna,3,Hrodzyenskaya Voblasts',53.6814,23.8147,"Mozilla/5.0 (Linux; U; Android 2.3.5; ru-ru; ZTE-BLADE Build/GRJ22) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-05-13,06:31:18,1336905029203:::Russia
keep,2012-08-22,06:12:59,94.158.77.82,UA,Ukraine,Kiev,12,Kyyiv,50.4333,30.5167,"Mozilla/5.0 (Linux; U; Android 3.1; ru-ru; GT-P7500 Build/HMJ37) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13 Шпион или нет?",ru-RU,"ru-RU, en-US",participant,vote,2012-08-22,06:13:22,1345637582552:::Russia
keep,2012-05-12,04:52:00,95.143.213.147,RU,Russian Federation,Moscow,48,Moscow City,55.7522,37.6156,"Mozilla/5.0 (Linux; U; Android 3.2; ru-ru; GT-P7510 Build/HTJ85B) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13 Шпион или нет?",ru-RU,"ru-RU, en-US",participant,vote,2012-05-12,04:52:18,1336800941016:::Sussex
keep,2012-09-14,04:47:52,95.165.229.91,RU,Russian Federation,Moscow,48,Moscow City,55.7522,37.6156,"Mozilla/5.0 (Linux; U; Android 4.0.3; ru-ru; GT-P5110 Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30 Шпион или нет?",ru-RU,"ru-RU, en-US",participant,vote,2012-09-14,04:48:24,1347612514975
keep,2012-05-23,05:20:17,95.188.45.198,RU,Russian Federation,Krasnoyarsk,39,Krasnoyarsk,56.0091,92.8628,"Mozilla/5.0 (Linux; U; Android 2.3.5; ru-ru; GT-S5660 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-05-23,05:20:59,1337678279086
keep,2012-06-17,10:28:42,95.35.63.197,IL,Israel,Tel Aviv-yafo,5,Tel Aviv,32.0678,34.7647,"Mozilla/5.0 (Linux; U; Android 4.0.3; ru-ru; GT-I9100T Build/IML74K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30 Шпион или нет?",ru-RU,"ru-RU, en-US",participant,vote,2012-06-17,10:29:16,1339943321415
keep,2012-07-21,15:18:27,95.54.58.48,RU,Russian Federation,Vyborg,42,Leningrad,60.7076,28.7528,"Mozilla/5.0 (Linux; U; Android 2.3.6; ru-ru; GT-S6102 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-07-21,15:18:42,1342912798721
keep,2012-09-29,01:14:21,95.73.109.227,RU,Russian Federation,Elektrostal,47,Moskva,55.7896,38.4467,"Mozilla/5.0 (Linux; U; Android 2.3.6; ru-ru; GT-S5360 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 Шпион или нет?",en,"ru-RU, en-US",participant,vote,2012-09-29,01:14:37,1348910026610:::Russia
